id,series_id,season,episode,title,release_date,description
14,1,1,14,Balance of Terror,1966-12-15,The Enterprise must decide on its response when a Romulan ship makes a destructively hostile armed probe of Federation territory.
15,1,1,15,Shore Leave,1966-12-29,"The past months have left the crew exhausted and in desperate need of a break, but does this explain McCoy's encounter with a human-sized white rabbit or Kirk crossing paths with the prankster who plagued his days at Starfleet Academy?"
16,1,1,16,The Galileo Seven,1967-01-05,"The Galileo, under Spock's command, crash-lands on a hostile planet. As the Enterprise races against time to find the shuttlecraft, Spock's strictly logical leadership clashes with the fear and resentment of his crew."
17,1,1,17,The Squire of Gothos,1967-01-12,A powerful and childish alien captures the crew to keep himself amused.
18,1,1,18,Arena,1967-01-19,"For bringing hostility into their solar system, a superior alien race brings Captain Kirk into mortal combat against the reptilian captain of an alien ship he was pursuing."
19,1,1,19,Tomorrow Is Yesterday,1967-01-26,The Enterprise is thrown back in time to 1960s Earth.
20,1,1,20,Court Martial,1967-02-02,Kirk draws a court martial in the negligent death of a crewman.
21,1,1,21,The Return of the Archons,1967-02-09,"Seeking the answer to a century-old mystery, Kirk and crew encounter a vacantly peaceful society under a 6000-year autocratic rule that kills all those it can't absorb."
22,1,1,22,Space Seed,1967-02-16,"While on patrol in deep space, Captain Kirk and his crew find and revive a genetically-engineered world conqueror and his compatriots from Earth's Twentieth Century."
23,1,1,23,A Taste of Armageddon,1967-02-23,Kirk and Spock must save their ship's crew when they are all declared killed in action in a bizarre computer simulated war where the actual deaths must nevertheless occur.
24,1,1,24,This Side of Paradise,1967-03-02,"The Enterprise investigates a planet whose colonists should be dead, but are not."
25,1,1,25,The Devil in the Dark,1967-03-09,"The Enterprise is sent to a mining colony that is being terrorized by a mysterious monster, only to find that the situation is not that simple."
26,1,1,26,Errand of Mercy,1967-03-23,"With a war with Klingons raging, Kirk and Spock attempt to resist an occupation of a planet with incomprehensibly placid natives."
27,1,1,27,The Alternative Factor,1967-03-30,"Existence itself comes under threat from a man's power-struggle with his alternate self, with the Enterprise's strained dilithium crystals presenting his key to a final solution."
28,1,1,28,The City on the Edge of Forever,1967-04-06,"When a temporarily insane Dr. McCoy accidentally changes history and destroys his time, Kirk and Spock follow him to prevent the disaster, but the price to do so is high."
29,1,1,29,Operation -- Annihilate!,1967-04-13,The Enterprise crew attempts to stop a plague of amoeba-like creatures from possessing human hosts and spreading throughout the galaxy.
30,1,2,1,Amok Time,1967-09-15,"In the throes of his Pon Farr mating period, Spock must return to Vulcan to meet his intended future wife, betrothed from childhood."
31,1,2,2,Who Mourns for Adonais?,1967-09-22,A powerful being claiming to be the Greek god Apollo appears and demands that the crew of the Enterprise disembark onto his planet to worship him.
32,1,2,3,The Changeling,1967-09-29,"A powerful artificially intelligent Earth probe, with a murderously twisted imperative, comes aboard the Enterprise and mistakes Capt. Kirk for its creator."
33,1,2,4,"Mirror, Mirror",1967-10-06,"A transporter accident places Captain Kirk's landing party in an alternate universe, where the Enterprise is in the service of a barbarically brutal empire."
34,1,2,5,The Apple,1967-10-13,Primitive inhabitants of Gamma Trianguli VI worship a god who orders them to kill visitors from the Enterprise.
35,1,2,6,The Doomsday Machine,1967-10-20,The USS Enterprise encounters the wrecked USS Constellation and its distraught commodore who's determined to stop the giant planet-destroying robot ship that killed his crew.
36,1,2,7,Catspaw,1967-10-27,"Very alien visitors to our galaxy attempt to connect with human consciousness but miss, winding up tapping into the regions of human nightmares instead."
37,1,2,8,"I, Mudd",1967-11-03,Harry Mudd returns with a plot to take over the Enterprise by stranding the crew on a planet populated by androids under his command.
38,1,2,9,Metamorphosis,1967-11-10,"While returning to the Enterprise aboard the shuttlecraft, Kirk, Spock, McCoy and a seriously ill Federation diplomat find themselves kidnapped by an energized cloud."
39,1,2,10,Journey to Babel,1967-11-17,"The Enterprise hosts a number of quarrelling diplomats, including Spock's father, but someone on board has murder in mind."
40,1,2,11,Friday's Child,1967-12-01,The Federation clashes with the Klingon Empire over mining rights to Capella IV. A sudden coup between its warrior-minded inhabitants forces Kirk's party to flee with the now dead leader's pregnant wife.
41,1,2,12,The Deadly Years,1967-12-08,A landing party from the Enterprise is exposed to strange form of radiation which rapidly ages them.
42,1,2,13,Obsession,1967-12-15,Capt. Kirk obsessively hunts for a mysterious cloud creature he encountered in his youth.
43,1,2,14,Wolf in the Fold,1967-12-22,Kirk and the Enterprise computer become detectives after Scotty is accused of murdering women on a pleasure planet.
44,1,2,15,The Trouble with Tribbles,1967-12-29,"To protect a space station with a vital grain shipment, Kirk and the crew must deal with Federation bureaucrats, a Klingon battle cruiser and a peddler who sells furry, purring, voracious little creatures as pets."
45,1,2,16,The Gamesters of Triskelion,1968-01-05,"Kirk, Uhura and Chekov are trapped on a planet where abducted aliens are enslaved and trained to perform as gladiators for the amusement of bored, faceless aliens."
46,1,2,17,A Piece of the Action,1968-01-12,The crew of the Enterprise struggles to cope with a planet of imitative people who have modeled their society on 1920s gangsters.
47,1,2,18,The Immunity Syndrome,1968-01-19,The Enterprise encounters a gigantic energy draining space organism that threatens the galaxy.
48,1,2,19,A Private Little War,1968-02-02,"Peaceful, primitive peoples get caught up in the struggle between superpowers, with Kirk unhappily trying to restore the balance of power disrupted by the Klingons."
49,1,2,20,Return to Tomorrow,1968-02-09,"The Enterprise is guided to a distant, long-dead world where survivors of an extremely ancient race - existing only as disembodied energy - desiring the bodies of Kirk, Spock and astro-biologist Ann Mulhall so that they may live again."
50,1,2,21,Patterns of Force,1968-02-16,"Looking for a missing Federation cultural observer, Kirk and Spock find themselves on a planet whose culture has been completely patterned after Nazi Germany."
51,1,2,22,By Any Other Name,1968-02-23,Galactic alien scouts hijack the Enterprise for a return voyage to their home galaxy and a prelude to invasion. Kirk's only advantage is that they're not fully adapted to the human form they've taken on.
52,1,2,23,The Omega Glory,1968-03-01,"Responding to a distress signal, Kirk finds Captain Tracey of the U.S.S. Exeter violating the prime directive and interfering with a war between the Yangs and the Kohms to find the secret of their longevity."
53,1,2,24,The Ultimate Computer,1968-03-08,"Kirk and a sub-skeleton crew are ordered to test out an advanced artificially intelligent control system - the M-5 Multitronic system, which could potentially render them all redundant."
54,1,2,25,Bread and Circuses,1968-03-15,The Enterprise crew investigates the disappearance of a ship's crew on a planet that is a modern version of the Roman Empire.
55,1,2,26,Assignment: Earth,1968-03-29,"While back in time observing Earth in 1968, the Enterprise crew encounters the mysterious Gary Seven who has his own agenda on the planet."
56,1,3,1,Spock's Brain,1968-09-20,The crew of the Enterprise pursues a mysterious woman who has abducted Spock's brain.
57,1,3,2,The Enterprise Incident,1968-09-27,An apparently insane Capt. Kirk has the Enterprise deliberately enter the Romulan Neutral Zone where the ship is immediately captured by the enemy.
58,1,3,3,The Paradise Syndrome,1968-10-04,"Trapped on a planet whose inhabitants are descended from Northwestern Native Americans, Kirk loses his memory and is proclaimed a God while the crippled Enterprise races back to the planet before it is destroyed by an asteroid."
59,1,3,4,And the Children Shall Lead,1968-10-11,The Enterprise reaches a Federation colony where the adults have all killed themselves but the children play without care.
60,1,3,5,Is There in Truth No Beauty?,1968-10-18,"Lovely telepath Miranda is aide to Ambassador Kollos, in a box to stop insanity when humans see Medusans. She rejects Larry, a designer of Enterprise, and senses murderous intent nearby."
61,1,3,6,Spectre of the Gun,1968-10-25,"As punishment for ignoring their warning and trespassing on their planet, the Melkot condemn Capt. Kirk and his landing party to the losing side of a surreal recreation of the 1881 historic gunfight at the OK Corral."
62,1,3,7,Day of the Dove,1968-11-01,Both humans and Klingons have been lured to a planet by a formless entity that feeds on hatred and has set about to fashion them into a permanent food supply for itself.
63,1,3,8,For the World Is Hollow and I Have Touched the Sky,1968-11-08,The Enterprise discovers an apparent asteroid that is on a collision course with a planet is actually an ancient populated generation ship.
64,1,3,9,The Tholian Web,1968-11-15,"With Capt. Kirk and the derelict USS Defiant apparently lost, the Enterprise grapples with an insanity causing plague and an attack by the Tholians."
65,1,3,10,Plato's Stepchildren,1968-11-22,"After Dr. McCoy helps the leader of a planet populated by people with powerful psionic abilities, they decide to force him to stay by torturing his comrades until he submits."
66,1,3,11,Wink of an Eye,1968-11-29,A group of aliens who exist in a state of incredible acceleration invade the Enterprise and abduct Capt. Kirk.
67,1,3,12,The Empath,1968-12-06,"Trapped in an alien laboratory, Kirk, Spock and McCoy meet an empath and are involved in a series of experiments."
68,1,3,13,Elaan of Troyius,1968-12-20,"While transporting an arrogant, demanding princess for a political marriage, Captain Kirk must cope both with her biochemical ability to force him to love her, as well as sabotage on his ship."
69,1,3,14,Whom Gods Destroy,1969-01-03,"Kirk and Spock are taken prisoners by a former starship captain named Garth, who now resides at, and has taken over, a high security asylum for the criminally insane."
70,1,3,15,Let That Be Your Last Battlefield,1969-01-10,The Enterprise encounters two duo-chromatic and mutually belligerent aliens who put the ship in the middle of their old conflict.
71,1,3,16,The Mark of Gideon,1969-01-17,Kirk beams down to the planet Gideon and appears to find himself trapped on a deserted Enterprise. Spock on the real Enterprise must use his diplomatic skills to deal with the uncooperative inhabitants of Gideon and find the Captain.
72,1,3,17,That Which Survives,1969-01-24,"After the Enterprise landing party beams down to investigate a geologically interesting planet, their ship is hurled across the galaxy. Kirk and company find a deserted outpost guarded by the deadly image of a beautiful woman."
73,1,3,18,The Lights of Zetar,1969-01-31,"A mysterious, twinkling mass of sapient energy ravages an important archive and Scotty's new girlfriend may be linked to it."
74,1,3,19,Requiem for Methuselah,1969-02-14,"On a planet, looking for an urgent medicinal cure, Kirk, Spock and McCoy come across a dignified recluse living privately but in splendor with his sheltered ward and a very protective robot servant."
75,1,3,20,The Way to Eden,1969-02-21,"A group of idealistic hippies, led by an irrational leader, come aboard the U.S.S. Enterprise."
76,1,3,21,The Cloud Minders,1969-02-28,Kirk and Spock are caught up in a revolution on a planet where intellectuals and artists live on a utopian city in the sky while the rest of the population toils in mines on the barren surface below.
77,1,3,22,The Savage Curtain,1969-03-07,"Kirk, Spock, Abraham Lincoln and Vulcan legend Surak are pitted in battle against notorious villains from history for the purpose of helping a conscious rock creature's understanding of a concept he does not understand, ""good vs. evil""."
78,1,3,23,All Our Yesterdays,1969-03-14,"When Kirk, Spock and McCoy investigate the disappearance of a doomed planet's population, they find themselves trapped in different periods of that world's past."
79,1,3,24,Turnabout Intruder,1969-06-03,Captain Kirk's insane ex-lover Dr. Janice Lester forcibly switches bodies with him in order to take command of the Enterprise.
80,3,1,1,Encounter at Farpoint,1987-09-28,"On the maiden mission of the U.S.S. Enterprise (NCC-1701-D), an omnipotent being known as Q challenges the crew to discover the secret of a mysterious base in an advanced and civilized fashion."
81,3,1,2,The Naked Now,1987-10-05,The crew of the Enterprise is infected with a virus that causes them to behave as though they were intoxicated.
82,3,1,3,Code of Honor,1987-10-12,"When the leader of an alien culture takes a romantic interest in Lt. Yar, he claims her for his own, to the dismay of his own wife, who, in turn, challenges Tasha in a fight to the death."
83,3,1,4,The Last Outpost,1987-10-19,The Enterprise makes a confrontational first contact with the piratical Ferengi race as their two ships are ensnared by a presumed dead planet ready to judge them.
84,3,1,5,Where No One Has Gone Before,1987-10-26,"Everyone accurately pegs a visiting propulsion scientist as a charlatan, but only Wesley Crusher recognizes his alien assistant as the real deal."
85,3,1,6,Lonely Among Us,1987-11-02,"While distracted by two antithetical races applying for Federation membership, the Enterprise picks up a sentient entity that can alternately possess either man or machinery."
86,3,1,7,Justice,1987-11-09,"On an alien planet, young Wesley Crusher commits a transgression - small by our standards but mandatorily punishable by death in theirs."
87,3,1,8,The Battle,1987-11-16,"Beware Ferengi bearing gifts. Capt. Picard receives the Stargazer, a ship considered lost that he once commanded."
88,3,1,9,Hide and Q,1987-11-23,"The Enterprise encounters Q again, and he tempts Riker by endowing him with the powers of the Q."
89,3,1,10,Haven,1987-11-30,"While on a mission to a planet called Haven, Counselor Troi meets her husband to be, a marriage arranged by her father years before, as the Enterprise encounters a ship far deadlier than any combat could provide."
90,3,1,11,The Big Goodbye,1988-01-11,Captain Picard and some of his crew are caught in a deadly trap in the holodeck as the result of a ship-wide scan from an alien race.
91,3,1,12,Datalore,1988-01-18,"The Enterprise visits the planet where Data was created and discovers another android like him, but when he's assembled, he's not exactly like him."
92,3,1,13,Angel One,1988-01-25,"Riker, Troi, Data and Yar beam down to a planet ruled by a matriarchal government in the hopes of locating a missing freighter crew."
93,3,1,14,11001001,1988-02-01,The Enterprise docks at a starbase for repairs where it is commandeered by a race of technologically-linked aliens intent on using the vessel for their own purposes.
94,3,1,15,Too Short a Season,1988-02-08,"The Enterprise transports an elderly Starfleet Admiral to negotiate a hostage crisis. When the Admiral takes a de-aging drug, he endangers both his life and the mission."
95,3,1,16,When the Bough Breaks,1988-02-15,"A planet that was able to cloak itself for thousands of years suddenly reveals itself, with its inhabitants proposing peace. But, after initial negotiations, children of the Enterprise are kidnapped due to the infertility of the inhabitants."
96,3,1,17,Home Soil,1988-02-22,"On Velara III, Geordi and Data discover a microscopic life form responsible for the death of an engineer stationed on the base."
97,3,1,18,Coming of Age,1988-03-14,"Picard finds himself facing a strenuous test of his loyalty to Starfleet, one which the other members of the crew are struggling to cope with, whilst Wesley faces an equally challenging entrance exam at Starfleet Academy."
98,3,1,19,Heart of Glory,1988-03-21,The Enterprise searches for answers as to why three Klingon warriors were the only survivors aboard a freighter just inside the Neutral Zone which was seemingly attacked by a Ferengi ship.
99,3,1,20,The Arsenal of Freedom,1988-04-11,"The Enterprise encounters a planet long dead, but technical equipment still functions for the purpose of selling off its arsenal, along with self sufficiency."
100,3,1,21,Symbiosis,1988-04-18,"The Enterprise encounters two neighboring cultures, one suffering from a plague, the other marketing a cure, and learns that nothing is as simple as it seems."
101,3,1,22,Skin of Evil,1988-04-25,"Counselor Troi is held captive on a deserted planet by a slick, black, oily, sentient and immortal puddle of evil."
102,3,1,23,We'll Always Have Paris,1988-05-02,"A scientist's experiment in time goes awry, reuniting Picard with an old flame, now married to the scientist."
103,3,1,24,Conspiracy,1988-05-09,"After diverting to a secret meeting with an old friend and some of Starfleet's finest commanders, Picard finds the Horatio blown to bits just hours after the meeting and he returns the Enterprise to Earth looking for answers."
104,3,1,25,The Neutral Zone,1988-05-16,"While assigned to investigate missing outposts in the Neutral Zone, the Enterprise revives three cryogenically frozen people found aboard a wayward derelict Earth vessel."
105,3,2,1,The Child,1988-11-21,"Deanna is impregnated by an unknown alien life-form, and Dr. Katherine Pulaski joins the Enterprise as the ship's new Chief Medical Officer."
106,3,2,2,Where Silence Has Lease,1988-11-28,"The Enterprise encounters a mysterious void in space, and when they move in closer to investigate further, it envelops them and they can't get out."
107,3,2,3,"Elementary, Dear Data",1988-12-05,An attempt to provide Data with a challenging Sherlock Holmes holodeck program backfires when its Professor Moriarty character accidentally becomes self-aware.
108,3,2,4,The Outrageous Okona,1988-12-12,"The Enterprise rescues the captain of a broken-down freighter, only to become involved in a dispute between feuding worlds, each demanding custody of their guest. Data seeks help from Guinan in understanding humor."
109,3,2,5,Loud as a Whisper,1989-01-09,The crew ferries a deaf mediator to Solais V to negotiate an end to a civil war.
110,3,2,6,The Schizoid Man,1989-01-23,A dying anti-social scientist unintentionally comes upon the perfect vessel in which to preserve his intellect and arrogant personality - Data.
111,3,2,7,Unnatural Selection,1989-01-30,Enhanced DNA developments trigger an epidemic of rapid aging. Caught among its victims - Dr. Pulaski.
112,3,2,8,A Matter of Honor,1989-02-06,"Under an Officers Exchange Program, Riker serves aboard a Klingon ship, whose aging captain seeks an unwarranted bloody retaliation for suspected Enterprise treachery."
113,3,2,9,The Measure of a Man,1989-02-13,"When Data resigns his commission rather than be dismantled for examination by an inadequately skilled scientist, a formal hearing is convened to determine whether Data is considered property without rights or is a sentient being."
114,3,2,10,The Dauphin,1989-02-20,"Wesley falls for the young future leader of Daled IV, unaware just how dangerous the girl's protective and overly restrictive guardian can be."
115,3,2,11,Contagion,1989-03-20,"Encountering the superior technology of a very ancient race creates system malfunctions for a doomed Federation starship, for the Enterprise, and for an eavesdropping Romulan warbird."
116,3,2,12,The Royale,1989-03-27,"Worf, Data, and Riker find themselves trapped in a re-creation of a poorly written novel."
117,3,2,13,Time Squared,1989-04-03,The Enterprise comes across its own shuttlecraft adrift in space - a duplicate - with an unconscious duplicate Capt. Picard inside.
118,3,2,14,The Icarus Factor,1989-04-24,Riker's delight at being offered a command of the USS Ares turns to frustration when the man sent to prepare him for his mission is his estranged father; Worf's behavior leads Wesley to delve into Klingon tradition.
119,3,2,15,Pen Pals,1989-05-01,"Data befriends an alien girl in distress, breaking the Prime Directive, while Wesley commands his first team."
120,3,2,16,Q Who,1989-05-08,"Q tries to prove that Picard needs him as part of their crew by hurling the Enterprise 7,000 light years away where they encounter the Borg for the first time."
121,3,2,17,Samaritan Snare,1989-05-15,"With Picard away for routine surgery, the Enterprise responds to an apparent distress call from a Pakled vessel."
122,3,2,18,Up the Long Ladder,1989-05-22,"An antiquated distress signal leads to two lost 22nd century Earth colonies, each facing doom in different ways, one by fire, the other by prolonged cloning."
123,3,2,19,Manhunt,1989-06-19,A midlife Betazoid condition renders Ambassador Troi hot on the hunt for romance and wedlock with Captain Picard - or any man.
124,3,2,20,The Emissary,1989-06-26,"The Enterprise addresses the emergency of an old Klingon ship coming out of stasis and ready to fight the Federation. A half-Human/half-Klingon emissary, who once knew Worf intimately, arrives to help."
125,3,2,21,Peak Performance,1989-07-10,The crew of the Enterprise participates in war games.
126,3,2,22,Shades of Gray,1989-07-17,"When Commander Riker comes down with a dangerous alien infection after an away mission, the only way to treat it may be through reliving his memories."
127,3,3,1,Evolution,1989-09-25,"Wesley's latest science project escapes the lab, threatening the Enterprise and an eminent scientist's life-long project."
128,3,3,2,The Ensigns of Command,1989-10-02,"After 111 years of silence, an extremely litigious alien race asserts its agreed-upon right to wipe out a Federation colony in its territory."
129,3,3,3,The Survivors,1989-10-09,"The Enterprise responds to a distress call from Rana IV, a Federation colony that is under attack from an unknown alien ship. When they arrive, they find the entire surface of the planet destroyed, save for a single house and two occupants."
130,3,3,4,Who Watches the Watchers,1989-10-16,A proto-Vulcan culture worships Captain Picard and prepares to offer Counselor Troi as a sacrifice.
131,3,3,5,The Bonding,1989-10-23,"A startling surprise awaits the crew of the Enterprise when a mission costs the life of a crew member, who left her son behind."
132,3,3,6,Booby Trap,1989-10-30,"The Enterprise triggers an ancient yet effective trap left by an extinct race, with a perfectly preserved derelict ship serving as cheese for Picard."
133,3,3,7,The Enemy,1989-11-06,La Forge gets left behind on a storm-plagued planet when the rest of his team encounters a Romulan warrior.
134,3,3,8,The Price,1989-11-13,"While the Enterprise hosts negotiations for control of a stable wormhole, Troi forms a personal relationship with an opposing negotiator, unaware of his true being."
135,3,3,9,The Vengeance Factor,1989-11-20,"The Enterprise pursues a race of ""gatherers"" who continue to raid Federation outposts, unaware of the dangers lurking among them."
136,3,3,10,The Defector,1990-01-01,"When a Romulan officer defects to the Federation with a warning of a impending invasion, Capt. Picard struggles to decide if he is to be believed."
137,3,3,11,The Hunted,1990-01-10,"Investigating a planet applying for membership into the Federation, the crew of the Enterprise finds a group of inhabitants who used to be soldiers, but now fight for their very existence."
138,3,3,12,The High Ground,1990-01-31,"While visiting a planet under civil war, Dr. Crusher is taken hostage by an opposing faction of the planet's ruling government."
139,3,3,13,Deja Q,1990-02-05,"Much to Picard's displeasure, Q reappears on the Enterprise, claiming to have been ejected from the Q Continuum, and therefore, lost his powers."
140,3,3,14,A Matter of Perspective,1990-02-12,"The widow of respected scientist Dr. Nel Apgar accuses Riker of seducing her and killing her husband. Rather than turn Riker over for unfavorable trial, the Enterprise reconstructs the facts."
141,3,3,15,Yesterday's Enterprise,1990-02-19,"The Enterprise C enters the Enterprise D's time and space continuum, where they find Picard and crew in a constant state of war with the Klingons, and only Guinan knows it."
142,3,3,16,The Offspring,1990-03-12,"After returning from a cybernetics conference to the Enterprise, Data creates his own ""child,"" much to the chagrin of his captain, and without regards to the ramifications with Starfleet."
143,3,3,17,Sins of the Father,1990-03-19,"A Klingon commander comes aboard the Enterprise in an officer exchange program initiated by Starfleet, much to the chagrin of the crew."
144,3,3,18,Allegiance,1990-03-26,"Picard is kidnapped and held with three different aliens; meanwhile, he is replaced with an impostor aboard the Enterprise."
145,3,3,19,Captain's Holiday,1990-04-02,"After mediating a difficult trade agreement, Captain Picard is encouraged to take a much needed rest on a vacationing planet, where he's visited by a strange race from the future, in search of a dangerous weapon."
146,3,3,20,Tin Man,1990-04-23,"The Enterprise reaches out to an alien being while dancing around with the Romulans, who want to attack it in an act of vengeance."
147,3,3,21,Hollow Pursuits,1990-04-30,"A shy member of the ""Enterprise"" crew becomes addicted to the holodeck, where relationships are easier than in real life, when his knowledge is needed in engineering."
148,3,3,22,The Most Toys,1990-05-07,"When transporting a dangerous material to the Enterprise, Data is kidnapped and the crew is led to believe he is dead when the shuttlecraft he was piloting explodes en route."
149,3,3,23,Sarek,1990-05-14,Legendary Federation ambassador Sarek visits the Enterprise to conclude peace talks with a race called the Legarans. His arrival is accompanied with a rash of unusual emotional outbursts among the crew.
150,3,3,24,Ménage à Troi,1990-05-28,"When Deanna's mother spurns advances made by a Ferengi DaiMon, he takes it upon himself to kidnap her, Deanna, and Commander Riker, and steal them away aboard his ship."
151,3,3,25,Transfigurations,1990-06-04,"The Enterprise finds a deserted planet where a ship has crashed, and, with it, the lone survivor with no memory, but extraordinary healing powers."
152,3,3,26,"The Best of Both Worlds, Part I",1990-06-18,"Responding to a distress call on one of the Federation's outer-most colonies, the Enterprise arrives...only to find a big hole in the ground where the town used to be, and discovers the Borg are behind the attack."
153,3,4,1,"The Best of Both Worlds, Part II",1990-09-24,"Having absorbed Captain Picard and his knowledge, the Borg head for Earth, leaving Riker and the Enterprise desperate for an unanticipated way to defeat them."
154,3,4,2,Family,1990-10-01,"After defeating the Borg, the crew of the Enterprise experiences shore leave in various ways. Captain Picard's return to his family's vineyard in France has some extraordinary repercussions."
155,3,4,3,Brothers,1990-10-08,"After an accident aboard the Enterprise leaves one of its children in grave danger, Data commandeers the Enterprise, driven to take the ship to an unknown origin, where an interesting figure awaits."
156,3,4,4,Suddenly Human,1990-10-15,"On a mission to an alien training mission, they discover one of its trainees to be a human."
157,3,4,5,Remember Me,1990-10-22,Dr. Crusher's fear of losing loved ones becomes real when her worries create an alternate reality.
158,3,4,6,Legacy,1990-10-29,"The crew of the Enterprise enters into orbit around the home planet of their former crewmate, Tasha Yar, where they encounter her sister."
159,3,4,7,Reunion,1990-11-05,"When the leader of the Klingon High Council dies, Picard finds himself in the middle of the struggle for the now-vacant position. Meanwhile, Worf reunites with a past love, only to find he now has a son."
160,3,4,8,Future Imperfect,1990-11-12,Riker awakens 16 years after an away mission where he contracted a disease which destroyed his memory back to the point of infection - or so he's told.
161,3,4,9,Final Mission,1990-11-19,"Before leaving for Starfleet Academy, Wesley Crusher accompanies Captain Picard on a dangerous mission."
162,3,4,10,The Loss,1990-12-31,"As an unknown force drags the Enterprise, Deanna Troi struggles with the loss of her empathic abilities."
163,3,4,11,Data's Day,1991-01-07,"Data tries to comprehend the complex emotions between O'Brien and Keiko, who are about to be married."
164,3,4,12,The Wounded,1991-01-28,"After being fired upon by a Cardassian vessel, Picard races against time to find out the facts behind the Cardassian commander's claim that the Federation attacked one of their outposts."
165,3,4,13,Devil's Due,1991-02-04,"While answering a distress call, Picard finds himself not sure of exactly who he is dealing with, but he's sure he's not dealing with the planet's version of the Devil, as she claims to be."
166,3,4,14,Clues,1991-02-11,Effects of passing through a wormhole give the Enterprise crew a sense that they were unconscious for more than the 30 seconds they've been led to believe.
167,3,4,15,First Contact,1991-02-18,"Disguised as an alien prior to First Contact, Will's life becomes imperiled when incurred injuries reveal his foreign internal structure to a xenophobic alien population."
168,3,4,16,Galaxy's Child,1991-03-11,"As Geordi La Forge finally meets the real Dr. Leah Brahms, a tragic first contact leaves the Enterprise with a gigantic galactic infant suckling the ship's energy."
169,3,4,17,Night Terrors,1991-03-18,"The Enterprise gets trapped in a Tyken's Rift, an energy-absorbing rupture in space, where all but Data, Troi, and Guinan experience rising hallucinations and paranoia."
170,3,4,18,Identity Crisis,1991-03-25,Lt. Commander Geordi La Forge and an old friend fight to defeat a parasite that is trying to transform them into another species.
171,3,4,19,The Nth Degree,1991-04-01,"When assigned to investigate an unknown probe, Lt. Barclay is hit by an energy surge, through a shuttlecraft's computer, and he receives an inexplicable boost of confidence and a vast increase in his knowledge."
172,3,4,20,Qpid,1991-04-22,"Aiming to get out of Jean-Luc's debt, Q forces Capt. Picard and his officers to live out the Legend of Robin Hood - with a past acquaintance as Maid Marian."
173,3,4,21,The Drumhead,1991-04-29,A retired admiral boards the Enterprise in an effort to determine the actions aboard the ship surrounding an act of sabotage and possible treason.
174,3,4,22,Half a Life,1991-05-06,"Counselor Troi's mother visits the Enterprise and becomes infatuated with a man whose culture forces him into a suicidal ritual called ""The Resolution."""
175,3,4,23,The Host,1991-05-13,Dr. Crusher falls for someone who's not at all what she expects him to be.
176,3,4,24,The Mind's Eye,1991-05-27,Geordi is brainwashed by the Romulans to start a war between the Klingons and the Federation.
177,3,4,25,In Theory,1991-06-03,"When a female crew member is infatuated with Lieutenant Commander Data, he decides to give a romantic relationship a try. Also, the Enterprise finds itself having to maneuver through a dangerous nebula."
178,3,4,26,Redemption,1991-06-17,Both Captain Picard and Lt. Worf must decide where their priorities lie as the Klingon Empire descends into a bitter civil war.
179,3,5,1,Redemption II,1991-09-23,"As Worf fights in the Klingon Civil War, Captain Picard and his crew must stop the Romulans from helping their pawns achieve victory."
180,3,5,2,Darmok,1991-09-30,Picard must learn to communicate with a race that speaks in metaphor under a difficult set of circumstances.
181,3,5,3,Ensign Ro,1991-10-07,"Captain Picard foils a plot against the Bajorans with his new Bajoran officer, Ensign Ro."
